Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Rating
DR7087,19.559,Low Fat,0.029911,Soft Drinks,68.98,OUT019,1985,Small,Tier 1,Grocery Store,106.06,3.2
DR2778,6.544,reg,0.008026,Health and Hygiene,209.9,OUT049,1999,Medium,Tier 1,Supermarket Type1,249.4,4.3
DR2123,,Regular,0.083571,Baking Goods,254.25,OUT019,1985,Small,Tier 1,Grocery Store,599.13,3.8
FD1283,19.189,Regular,0.100954,Breads,119.85,OUT013,1987,High,Tier 3,Supermarket Type1,776.74,4.0
NC1281,11.668,Non-Edible,0.117915,Dairy,88.21,OUT010,1998,Small,Tier 3,Grocery Store,240.62,1.4
NC7581,8.719,Non-Edible,0.184093,Dairy,220.69,OUT010,1998,Small,Tier 3,Grocery Store,694.36,4.1
FD9998,11.156,reg,0.182649,Meat,131.7,OUT017,2007,,Tier 2,Supermarket Type1,1835.14,4.5
DR8235,19.53,Low Fat,0.044261,Health and Hygiene,73.56,OUT010,1998,Small,Tier 3,Grocery Store,160.8,4.3
DR2639,10.525,low fat,0.118634,Household,247.52,OUT010,1998,Small,Tier 3,Grocery Store,542.9,2.8
NC4820,6.142,Non-Edible,0.098233,Frozen Foods,117.19,OUT017,2007,,Tier 2,Supermarket Type1,455.13,2.7
NC6066,15.6,Non-Edible,0.06045,Dairy,265.92,OUT027,1985,Medium,Tier 3,Supermarket Type3,2320.4,4.8
FD6432,20.648,LF,0.09118,Health and Hygiene,49.18,OUT049,1999,Medium,Tier 1,Supermarket Type1,431.54,3.4
FD5398,19.365,LF,0.069249,Baking Goods,225.03,OUT010,1998,Small,Tier 3,Grocery Store,889.99,2.9
FD6660,,Low Fat,0.090769,Soft Drinks,136.32,OUT049,1999,Medium,Tier 1,Supermarket Type1,1720.2,5.0
DR9840,16.366,Low Fat,0.157374,Canned,214.52,OUT046,1997,Small,Tier 1,Supermarket Type1,3087.83,4.7
DR2867,4.726,Low Fat,0.186158,Dairy,72.5,OUT035,2004,Small,Tier 2,Supermarket Type1,1179.9,4.2
NC3181,8.792,Non-Edible,0.095776,Hard Drinks,204.1,OUT013,1987,High,Tier 3,Supermarket Type1,1990.91,1.3
FD7086,19.176,Regular,0.054357,Snack Foods,47.48,OUT017,2007,,Tier 2,Supermarket Type1,383.55,4.1
NC4877,7.026,Non-Edible,0.162925,Household,256.42,OUT017,2007,,Tier 2,Supermarket Type1,801.63,3.1
DR8098,12.202,low fat,0.069326,Household,168.67,OUT027,1985,Medium,Tier 3,Supermarket Type3,2386.19,3.3
FD7538,11.647,LF,0.050068,Starchy Foods,203.08,OUT045,2002,,Tier 2,Supermarket Type1,1775.01,3.0
FD2984,15.799,Regular,0.094989,Fruits and Vegetables,264.26,OUT013,1987,High,Tier 3,Supermarket Type1,1445.21,1.6
FD4821,19.266,Regular,0.128675,Starchy Foods,48.84,OUT018,2009,Medium,Tier 3,Supermarket Type2,290.27,1.9
DR9470,14.953,Regular,0.120681,Starchy Foods,42.67,OUT049,1999,Medium,Tier 1,Supermarket Type1,206.8,4.2
FD3255,10.568,Low Fat,0.059431,Snack Foods,124.82,OUT049,1999,Medium,Tier 1,Supermarket Type1,1042.25,4.5
DR8428,12.227,low fat,0.169649,Health and Hygiene,95.15,OUT019,1985,Small,Tier 1,Grocery Store,143.33,4.7
DR1570,16.431,reg,0.0,Seafood,259.12,OUT027,1985,Medium,Tier 3,Supermarket Type3,6305.75,3.8
FD3744,15.756,LF,0.024451,Soft Drinks,252.85,OUT010,1998,Small,Tier 3,Grocery Store,953.82,3.4
DR5879,10.654,reg,0.097616,Frozen Foods,215.59,OUT018,2009,Medium,Tier 3,Supermarket Type2,1983.59,4.2
DR1526,17.483,Low Fat,0.153857,Dairy,192.05,OUT018,2009,Medium,Tier 3,Supermarket Type2,1571.91,4.7
FD2417,7.772,LF,0.162927,Breakfast,96.55,OUT018,2009,Medium,Tier 3,Supermarket Type2,1574.86,4.9
DR9585,18.221,Low Fat,0.0,Household,194.66,OUT045,2002,,Tier 2,Supermarket Type1,1595.41,4.0
FD2453,15.555,Regular,0.149713,Baking Goods,151.66,OUT010,1998,Small,Tier 3,Grocery Store,97.19,4.0
FD6842,20.697,reg,0.166948,Snack Foods,173.02,OUT027,1985,Medium,Tier 3,Supermarket Type3,781.3,3.3
DR1436,,Low Fat,0.169731,Canned,104.97,OUT049,1999,Medium,Tier 1,Supermarket Type1,727.96,4.8
DR6961,18.182,reg,0.130093,Seafood,171.14,OUT049,1999,Medium,Tier 1,Supermarket Type1,2081.77,4.0
FD5825,11.146,Regular,0.083123,Breakfast,115.72,OUT013,1987,High,Tier 3,Supermarket Type1,1045.34,3.7
DR7593,6.802,Low Fat,0.149768,Hard Drinks,200.11,OUT018,2009,Medium,Tier 3,Supermarket Type2,1612.48,4.4
DR2267,20.718,Regular,0.114765,Canned,57.85,OUT046,1997,Small,Tier 1,Supermarket Type1,382.83,3.8
FD1385,13.113,LF,0.159074,Soft Drinks,78.37,OUT027,1985,Medium,Tier 3,Supermarket Type3,1171.51,4.8
FD4842,5.156,LF,0.0,Dairy,91.83,OUT017,2007,,Tier 2,Supermarket Type1,1442.59,4.2
DR9871,15.608,LF,0.107587,Meat,130.26,OUT049,1999,Medium,Tier 1,Supermarket Type1,1838.03,4.8
FD9360,,LF,0.187282,Meat,245.83,OUT027,1985,Medium,Tier 3,Supermarket Type3,5687.09,3.7
NC9365,9.552,Non-Edible,0.103705,Dairy,132.38,OUT019,1985,Small,Tier 1,Grocery Store,24.77,4.5
FD4925,11.664,low fat,0.047155,Canned,169.57,OUT010,1998,Small,Tier 3,Grocery Store,329.62,3.2
NC6912,8.251,Non-Edible,0.018763,Soft Drinks,248.01,OUT045,2002,,Tier 2,Supermarket Type1,2338.16,4.0
FD3152,19.794,low fat,0.124203,Frozen Foods,42.85,OUT013,1987,High,Tier 3,Supermarket Type1,99.95,4.7
FD4695,14.47,Low Fat,0.0,Seafood,197.81,OUT017,2007,,Tier 2,Supermarket Type1,1662.01,4.4
FD4380,5.738,Low Fat,0.023453,Fruits and Vegetables,247.65,OUT035,2004,Small,Tier 2,Supermarket Type1,4364.41,4.2
DR2841,,reg,0.053302,Household,147.65,OUT035,2004,Small,Tier 2,Supermarket Type1,521.84,4.1
NC9981,17.334,Non-Edible,0.009499,Breads,258.87,OUT017,2007,,Tier 2,Supermarket Type1,1666.52,4.1
NC2137,16.216,Non-Edible,0.184963,Fruits and Vegetables,154.62,OUT017,2007,,Tier 2,Supermarket Type1,202.43,3.5
FD2199,14.738,low fat,0.064374,Fruits and Vegetables,244.93,OUT019,1985,Small,Tier 1,Grocery Store,273.89,3.4
NC6613,20.595,Non-Edible,0.146843,Health and Hygiene,222.02,OUT045,2002,,Tier 2,Supermarket Type1,2860.12,3.6
NC3763,12.098,Non-Edible,0.052532,Breads,242.08,OUT027,1985,Medium,Tier 3,Supermarket Type3,1888.54,4.5
DR4850,,LF,0.1675,Breakfast,229.66,OUT046,1997,Small,Tier 1,Supermarket Type1,3622.32,4.3
DR7854,8.447,Low Fat,0.08112,Household,79.39,OUT010,1998,Small,Tier 3,Grocery Store,253.06,3.6
FD1771,,reg,0.170245,Snack Foods,57.28,OUT018,2009,Medium,Tier 3,Supermarket Type2,797.35,4.1
DR4775,9.113,LF,0.094877,Health and Hygiene,153.61,OUT035,2004,Small,Tier 2,Supermarket Type1,1031.65,3.2
NC8487,6.462,Non-Edible,0.152517,Household,97.09,OUT045,2002,,Tier 2,Supermarket Type1,346.85,3.3
NC1312,6.566,Non-Edible,0.03937,Meat,142.19,OUT013,1987,High,Tier 3,Supermarket Type1,448.44,4.8
FD3471,5.383,LF,0.182662,Breads,129.79,OUT046,1997,Small,Tier 1,Supermarket Type1,1107.35,4.2
FD6177,15.437,LF,0.18422,Meat,235.27,OUT049,1999,Medium,Tier 1,Supermarket Type1,3805.99,4.2
NC2870,14.966,Non-Edible,0.013817,Soft Drinks,165.08,OUT018,2009,Medium,Tier 3,Supermarket Type2,143.28,3.5
FD6326,10.566,Low Fat,0.032205,Dairy,65.83,OUT019,1985,Small,Tier 1,Grocery Store,187.09,3.4
DR7128,13.115,reg,0.026676,Dairy,184.14,OUT049,1999,Medium,Tier 1,Supermarket Type1,655.62,4.8
FD7731,,Regular,0.097206,Meat,221.74,OUT018,2009,Medium,Tier 3,Supermarket Type2,1722.2,4.8
FD7241,10.676,Regular,0.10979,Hard Drinks,152.26,OUT049,1999,Medium,Tier 1,Supermarket Type1,2154.39,3.3
DR2053,19.525,Regular,0.0,Canned,245.28,OUT046,1997,Small,Tier 1,Supermarket Type1,504.0,5.0
NC1128,7.281,Non-Edible,0.172856,Snack Foods,191.95,OUT013,1987,High,Tier 3,Supermarket Type1,663.71,4.7
DR2928,,Low Fat,0.130777,Breads,171.0,OUT045,2002,,Tier 2,Supermarket Type1,1088.29,4.9
FD4710,8.855,LF,0.057769,Health and Hygiene,134.41,OUT046,1997,Small,Tier 1,Supermarket Type1,998.87,4.4
FD7090,18.293,LF,0.156193,Hard Drinks,242.32,OUT017,2007,,Tier 2,Supermarket Type1,946.84,4.2
FD8778,17.352,Regular,0.0,Soft Drinks,252.15,OUT049,1999,Medium,Tier 1,Supermarket Type1,1821.81,3.2
DR9320,14.988,Regular,0.085608,Meat,260.99,OUT046,1997,Small,Tier 1,Supermarket Type1,2265.68,4.4
DR4386,18.827,LF,0.15815,Breakfast,94.76,OUT018,2009,Medium,Tier 3,Supermarket Type2,833.73,3.3
DR6369,18.709,Low Fat,0.13459,Canned,194.86,OUT018,2009,Medium,Tier 3,Supermarket Type2,1898.16,4.2
DR6887,7.262,Regular,0.048767,Meat,160.91,OUT045,2002,,Tier 2,Supermarket Type1,312.41,4.4
DR8810,12.662,reg,0.080496,Baking Goods,103.66,OUT035,2004,Small,Tier 2,Supermarket Type1,631.95,4.5
DR8974,,Regular,0.143305,Household,252.34,OUT049,1999,Medium,Tier 1,Supermarket Type1,3929.22,2.2
FD9822,16.333,Low Fat,0.160176,Frozen Foods,129.98,OUT019,1985,Small,Tier 1,Grocery Store,253.91,3.7
FD4034,6.244,Low Fat,0.065698,Dairy,136.29,OUT046,1997,Small,Tier 1,Supermarket Type1,1020.39,4.9
NC6347,17.772,Non-Edible,0.0103,Breakfast,105.63,OUT017,2007,,Tier 2,Supermarket Type1,1823.72,1.3
DR3113,5.793,low fat,0.175699,Hard Drinks,193.11,OUT035,2004,Small,Tier 2,Supermarket Type1,993.5,4.3
FD2642,,reg,0.0,Breakfast,255.29,OUT019,1985,Small,Tier 1,Grocery Store,163.43,3.1
NC5176,9.157,Non-Edible,0.182201,Canned,91.9,OUT046,1997,Small,Tier 1,Supermarket Type1,725.63,3.5
DR3644,6.975,low fat,0.009331,Breakfast,236.31,OUT019,1985,Small,Tier 1,Grocery Store,176.2,3.7
FD2054,15.096,low fat,0.041395,Breakfast,221.42,OUT049,1999,Medium,Tier 1,Supermarket Type1,2669.45,2.0
FD9360,7.492,LF,0.068367,Meat,245.83,OUT045,2002,,Tier 2,Supermarket Type1,3850.49,1.5
FD2960,8.667,LF,0.05509,Fruits and Vegetables,181.53,OUT035,2004,Small,Tier 2,Supermarket Type1,1702.48,3.5
NC9197,14.267,Non-Edible,0.079391,Starchy Foods,101.46,OUT027,1985,Medium,Tier 3,Supermarket Type3,802.72,3.8
NC2069,15.871,Non-Edible,0.101045,Breakfast,207.42,OUT013,1987,High,Tier 3,Supermarket Type1,1562.66,4.6
DR1739,12.18,low fat,0.175316,Starchy Foods,224.8,OUT018,2009,Medium,Tier 3,Supermarket Type2,2966.21,3.1
NC7661,9.467,Non-Edible,0.076113,Canned,40.07,OUT010,1998,Small,Tier 3,Grocery Store,82.5,4.7
NC1718,11.275,Non-Edible,0.054928,Soft Drinks,127.05,OUT046,1997,Small,Tier 1,Supermarket Type1,1530.68,4.0
FD1598,16.101,reg,0.0,Dairy,108.09,OUT018,2009,Medium,Tier 3,Supermarket Type2,298.35,4.7
DR1272,13.538,LF,0.0,Seafood,244.23,OUT027,1985,Medium,Tier 3,Supermarket Type3,4258.99,4.1
DR8560,5.255,Regular,0.017458,Canned,58.71,OUT049,1999,Medium,Tier 1,Supermarket Type1,713.17,4.8
FD3030,15.539,Regular,0.153427,Snack Foods,40.52,OUT045,2002,,Tier 2,Supermarket Type1,475.1,2.9
DR2728,10.551,low fat,0.163334,Fruits and Vegetables,156.6,OUT049,1999,Medium,Tier 1,Supermarket Type1,503.98,4.8
NC5726,7.019,Non-Edible,0.187087,Breakfast,110.55,OUT035,2004,Small,Tier 2,Supermarket Type1,1716.57,4.5
DR3975,,Low Fat,0.030253,Hard Drinks,131.25,OUT035,2004,Small,Tier 2,Supermarket Type1,445.87,4.8
NC3823,7.439,Non-Edible,0.037251,Fruits and Vegetables,227.31,OUT017,2007,,Tier 2,Supermarket Type1,1818.78,4.0
FD6162,16.544,Regular,0.165471,Health and Hygiene,186.09,OUT035,2004,Small,Tier 2,Supermarket Type1,1556.57,4.3
FD5892,13.371,Regular,0.100032,Fruits and Vegetables,234.27,OUT027,1985,Medium,Tier 3,Supermarket Type3,3321.23,3.5
NC4820,6.142,Non-Edible,0.184252,Frozen Foods,117.19,OUT013,1987,High,Tier 3,Supermarket Type1,1854.42,2.5
FD7090,,LF,0.151617,Hard Drinks,242.32,OUT049,1999,Medium,Tier 1,Supermarket Type1,882.01,4.5
DR2340,19.102,Low Fat,0.176855,Hard Drinks,234.83,OUT019,1985,Small,Tier 1,Grocery Store,398.0,4.9
NC2070,14.934,Non-Edible,0.148116,Dairy,189.12,OUT045,2002,,Tier 2,Supermarket Type1,2921.52,1.3
NC9595,9.597,Non-Edible,0.007524,Health and Hygiene,188.01,OUT046,1997,Small,Tier 1,Supermarket Type1,2685.2,1.1
DR1086,11.824,reg,0.0,Household,142.77,OUT017,2007,,Tier 2,Supermarket Type1,325.81,4.5
NC1077,11.562,Non-Edible,0.166463,Starchy Foods,266.79,OUT035,2004,Small,Tier 2,Supermarket Type1,3527.85,4.6
NC3129,12.393,Non-Edible,0.162814,Frozen Foods,128.02,OUT019,1985,Small,Tier 1,Grocery Store,349.2,4.0
FD6811,5.891,low fat,0.094307,Health and Hygiene,112.08,OUT013,1987,High,Tier 3,Supermarket Type1,110.55,4.8
FD7326,11.315,Regular,0.0,Frozen Foods,179.49,OUT045,2002,,Tier 2,Supermarket Type1,2907.53,1.1
NC4525,16.538,Non-Edible,0.049145,Health and Hygiene,220.31,OUT045,2002,,Tier 2,Supermarket Type1,822.13,4.2
NC4072,11.749,Non-Edible,0.013048,Frozen Foods,186.27,OUT010,1998,Small,Tier 3,Grocery Store,451.6,3.7
FD6139,10.186,Regular,0.167812,Health and Hygiene,135.3,OUT019,1985,Small,Tier 1,Grocery Store,293.88,4.8
FD5016,,Regular,0.098778,Health and Hygiene,190.63,OUT018,2009,Medium,Tier 3,Supermarket Type2,1958.24,4.7
NC2694,6.667,Non-Edible,0.060304,Fruits and Vegetables,94.93,OUT027,1985,Medium,Tier 3,Supermarket Type3,1090.88,4.2
DR1269,21.234,Regular,0.009062,Health and Hygiene,239.03,OUT045,2002,,Tier 2,Supermarket Type1,2159.04,4.4
FD6172,6.677,LF,0.00589,Fruits and Vegetables,78.22,OUT027,1985,Medium,Tier 3,Supermarket Type3,913.12,4.7
FD9634,,reg,0.171446,Breakfast,157.05,OUT013,1987,High,Tier 3,Supermarket Type1,1707.06,4.1
FD5644,10.616,low fat,0.15898,Seafood,51.22,OUT019,1985,Small,Tier 1,Grocery Store,103.17,4.3
DR3077,20.521,low fat,0.028927,Health and Hygiene,217.94,OUT018,2009,Medium,Tier 3,Supermarket Type2,1689.48,4.7
DR8830,12.276,LF,0.169544,Hard Drinks,58.96,OUT035,2004,Small,Tier 2,Supermarket Type1,966.17,4.8
FD8315,11.381,low fat,0.066482,Canned,197.61,OUT013,1987,High,Tier 3,Supermarket Type1,2137.1,3.3
NC9337,7.565,Non-Edible,0.168711,Baking Goods,191.7,OUT019,1985,Small,Tier 1,Grocery Store,139.63,4.6
NC2513,19.689,Non-Edible,0.091667,Canned,209.99,OUT046,1997,Small,Tier 1,Supermarket Type1,2403.56,4.6
FD1023,18.269,LF,0.085323,Hard Drinks,155.14,OUT017,2007,,Tier 2,Supermarket Type1,533.51,4.3
DR8221,14.305,low fat,0.0,Starchy Foods,82.06,OUT010,1998,Small,Tier 3,Grocery Store,288.58,4.9
NC7883,14.834,Non-Edible,0.06554,Soft Drinks,133.03,OUT013,1987,High,Tier 3,Supermarket Type1,1351.61,4.1
NC3397,9.984,Non-Edible,0.116538,Seafood,220.95,OUT010,1998,Small,Tier 3,Grocery Store,58.74,4.4
FD2578,5.966,reg,0.114358,Starchy Foods,158.25,OUT013,1987,High,Tier 3,Supermarket Type1,1306.87,3.1
FD6813,16.056,low fat,0.123578,Household,116.36,OUT027,1985,Medium,Tier 3,Supermarket Type3,1968.3,4.9
DR9289,14.648,Regular,0.123902,Breakfast,93.02,OUT017,2007,,Tier 2,Supermarket Type1,1608.99,4.2
DR9825,20.601,LF,0.065313,Starchy Foods,150.68,OUT035,2004,Small,Tier 2,Supermarket Type1,2775.08,2.5
DR6889,10.005,low fat,0.083282,Breads,183.68,OUT017,2007,,Tier 2,Supermarket Type1,182.05,4.2
DR1726,20.201,Regular,0.056851,Household,212.7,OUT019,1985,Small,Tier 1,Grocery Store,199.48,4.8
NC5436,10.611,Non-Edible,0.120077,Meat,163.22,OUT027,1985,Medium,Tier 3,Supermarket Type3,550.17,4.8
FD3393,18.186,low fat,0.0917,Health and Hygiene,78.86,OUT046,1997,Small,Tier 1,Supermarket Type1,888.24,5.0
FD7012,5.46,reg,0.039545,Breakfast,235.18,OUT035,2004,Small,Tier 2,Supermarket Type1,4015.37,4.8
FD6373,21.309,Regular,0.114459,Household,120.86,OUT010,1998,Small,Tier 3,Grocery Store,188.48,3.2
FD7343,16.22,low fat,0.020147,Meat,226.73,OUT046,1997,Small,Tier 1,Supermarket Type1,3310.01,4.2
NC4360,7.617,Non-Edible,0.164931,Seafood,254.48,OUT049,1999,Medium,Tier 1,Supermarket Type1,4719.35,4.3
FD3495,18.089,LF,0.037151,Seafood,83.55,OUT017,2007,,Tier 2,Supermarket Type1,93.1,3.9
NC3441,9.187,Non-Edible,0.104024,Fruits and Vegetables,138.97,OUT017,2007,,Tier 2,Supermarket Type1,178.49,3.3
NC6749,10.908,Non-Edible,0.03837,Starchy Foods,206.57,OUT027,1985,Medium,Tier 3,Supermarket Type3,3154.95,4.1
DR5164,14.729,reg,0.009209,Snack Foods,64.02,OUT010,1998,Small,Tier 3,Grocery Store,45.23,4.9
DR2329,16.703,Low Fat,0.045447,Hard Drinks,95.78,OUT035,2004,Small,Tier 2,Supermarket Type1,422.68,3.3
DR1487,5.65,Low Fat,0.135637,Health and Hygiene,205.74,OUT010,1998,Small,Tier 3,Grocery Store,524.86,5.0
NC7883,14.834,Non-Edible,0.057856,Soft Drinks,133.03,OUT049,1999,Medium,Tier 1,Supermarket Type1,919.59,1.3
FD9358,12.705,low fat,0.126778,Breads,198.05,OUT045,2002,,Tier 2,Supermarket Type1,2811.74,4.7
FD9191,,Low Fat,0.151605,Breads,116.21,OUT035,2004,Small,Tier 2,Supermarket Type1,949.07,4.4
FD3329,17.146,Regular,0.168692,Meat,110.25,OUT013,1987,High,Tier 3,Supermarket Type1,1963.04,4.6
DR9042,7.345,Regular,0.044519,Canned,252.25,OUT017,2007,,Tier 2,Supermarket Type1,2468.79,2.0
FD2354,6.53,Low Fat,0.071926,Meat,56.64,OUT046,1997,Small,Tier 1,Supermarket Type1,544.9,3.7
NC1169,4.767,Non-Edible,0.009468,Soft Drinks,252.63,OUT035,2004,Small,Tier 2,Supermarket Type1,4090.28,4.0
DR4735,5.508,Low Fat,0.092465,Fruits and Vegetables,216.02,OUT045,2002,,Tier 2,Supermarket Type1,3478.36,4.4
FD2453,15.555,Regular,0.0,Baking Goods,151.66,OUT010,1998,Small,Tier 3,Grocery Store,82.49,1.6
NC2347,18.691,Non-Edible,0.156072,Canned,116.07,OUT045,2002,,Tier 2,Supermarket Type1,642.78,3.1
DR9556,5.467,Low Fat,0.087973,Breads,82.46,OUT045,2002,,Tier 2,Supermarket Type1,930.52,3.3
NC5053,16.815,Non-Edible,0.0,Household,139.41,OUT019,1985,Small,Tier 1,Grocery Store,270.52,4.5
DR4533,18.944,low fat,0.053096,Hard Drinks,77.34,OUT027,1985,Medium,Tier 3,Supermarket Type3,393.4,3.6
DR2337,7.028,low fat,0.042211,Starchy Foods,190.54,OUT027,1985,Medium,Tier 3,Supermarket Type3,666.96,3.3
DR8786,17.644,LF,0.021977,Health and Hygiene,39.04,OUT019,1985,Small,Tier 1,Grocery Store,65.45,4.0
DR4525,,Regular,0.061427,Hard Drinks,157.13,OUT017,2007,,Tier 2,Supermarket Type1,1392.83,4.2
FD7513,10.672,reg,0.019857,Seafood,137.96,OUT010,1998,Small,Tier 3,Grocery Store,302.3,4.6
NC8487,6.462,Non-Edible,0.005551,Household,97.09,OUT046,1997,Small,Tier 1,Supermarket Type1,94.32,4.3
FD7996,10.74,reg,0.04991,Breakfast,215.88,OUT018,2009,Medium,Tier 3,Supermarket Type2,381.3,4.9
FD2199,14.738,low fat,0.11152,Fruits and Vegetables,244.93,OUT018,2009,Medium,Tier 3,Supermarket Type2,2866.42,4.2
DR1082,15.491,reg,0.046978,Snack Foods,129.7,OUT027,1985,Medium,Tier 3,Supermarket Type3,2199.61,4.7
FD2316,13.461,LF,0.153709,Starchy Foods,195.99,OUT010,1998,Small,Tier 3,Grocery Store,749.9,4.8
DR6440,15.358,Regular,0.0,Snack Foods,77.46,OUT049,1999,Medium,Tier 1,Supermarket Type1,471.96,4.9
NC8658,20.373,Non-Edible,0.080565,Baking Goods,144.68,OUT046,1997,Small,Tier 1,Supermarket Type1,149.09,4.1
FD6568,7.004,Regular,0.013161,Canned,69.49,OUT027,1985,Medium,Tier 3,Supermarket Type3,1287.44,3.7
DR2434,17.446,low fat,0.080832,Breads,192.04,OUT017,2007,,Tier 2,Supermarket Type1,3660.81,4.2
FD7497,14.762,LF,0.080861,Household,124.84,OUT045,2002,,Tier 2,Supermarket Type1,1460.14,4.8
FD5642,20.771,reg,0.074136,Health and Hygiene,106.5,OUT019,1985,Small,Tier 1,Grocery Store,180.48,4.2
NC6029,17.108,Non-Edible,0.088131,Meat,132.46,OUT010,1998,Small,Tier 3,Grocery Store,36.12,4.9
FD9536,15.998,Low Fat,0.097989,Baking Goods,75.02,OUT010,1998,Small,Tier 3,Grocery Store,39.14,3.1
NC7221,11.581,Non-Edible,0.063142,Soft Drinks,212.06,OUT018,2009,Medium,Tier 3,Supermarket Type2,1824.2,4.7
NC7337,5.808,Non-Edible,0.104037,Snack Foods,44.63,OUT045,2002,,Tier 2,Supermarket Type1,43.12,4.0
NC1281,11.668,Non-Edible,0.053099,Dairy,88.21,OUT017,2007,,Tier 2,Supermarket Type1,1021.74,2.4
FD6592,5.596,Regular,0.104086,Seafood,233.22,OUT018,2009,Medium,Tier 3,Supermarket Type2,573.39,5.0
NC3733,16.189,Non-Edible,0.068239,Household,197.95,OUT035,2004,Small,Tier 2,Supermarket Type1,1339.45,4.1
NC4660,14.395,Non-Edible,0.150129,Breads,91.51,OUT017,2007,,Tier 2,Supermarket Type1,739.4,4.9
DR4735,5.508,Low Fat,0.105919,Fruits and Vegetables,216.02,OUT045,2002,,Tier 2,Supermarket Type1,239.69,4.4
DR4525,5.557,Regular,0.165639,Hard Drinks,157.13,OUT017,2007,,Tier 2,Supermarket Type1,2774.7,3.2
DR1726,20.201,Regular,0.021035,Household,212.7,OUT046,1997,Small,Tier 1,Supermarket Type1,2084.72,1.0
FD5135,14.773,Low Fat,0.086222,Hard Drinks,184.13,OUT049,1999,Medium,Tier 1,Supermarket Type1,772.0,4.5
NC6169,16.191,Non-Edible,0.181487,Seafood,216.83,OUT046,1997,Small,Tier 1,Supermarket Type1,1146.39,4.7
FD6061,17.886,Low Fat,0.0,Meat,161.04,OUT013,1987,High,Tier 3,Supermarket Type1,196.52,3.0
NC4525,16.538,Non-Edible,0.048289,Health and Hygiene,220.31,OUT035,2004,Small,Tier 2,Supermarket Type1,972.66,4.3
NC9287,17.219,Non-Edible,0.169721,Soft Drinks,165.28,OUT046,1997,Small,Tier 1,Supermarket Type1,732.98,4.0
NC6391,7.242,Non-Edible,0.134946,Seafood,209.83,OUT018,2009,Medium,Tier 3,Supermarket Type2,384.11,4.1
FD9239,12.634,low fat,0.09444,Breads,62.3,OUT035,2004,Small,Tier 2,Supermarket Type1,420.78,3.0
NC6613,20.595,Non-Edible,0.022308,Health and Hygiene,222.02,OUT013,1987,High,Tier 3,Supermarket Type1,801.74,4.3
FD5979,10.368,low fat,0.070685,Seafood,195.79,OUT018,2009,Medium,Tier 3,Supermarket Type2,1277.09,4.5
DR6039,6.335,Regular,0.061819,Starchy Foods,34.13,OUT035,2004,Small,Tier 2,Supermarket Type1,307.29,3.3
DR2975,,low fat,0.092708,Breakfast,178.55,OUT018,2009,Medium,Tier 3,Supermarket Type2,145.62,3.3
DR5851,12.173,Regular,0.171371,Hard Drinks,78.79,OUT045,2002,,Tier 2,Supermarket Type1,931.2,4.2
DR2879,11.424,low fat,0.100335,Meat,252.5,OUT017,2007,,Tier 2,Supermarket Type1,1308.85,4.6
